u,techniques,items,n_items,ratings,n_ratings
5457,"[16, 2, 0, 4, 9, 0, 0, 0, 0, 9, 1, 2, 0, 0, 0, 0, 10, 0, 0, 0, 2, 1, 0, 4, 0, 0, 3, 4, 6, 1, 0, 0, 0, 6, 0, 0, 4, 2, 2, 0, 0, 1, 5, 4, 2, 0, 1, 0, 0, 1, 0, 0, 0, 2, 0, 4, 0, 1]","[46927, 163671, 147317, 3814, 120878, 13886, 115390, 54791, 101819, 109714, 27234, 114803, 169131, 32845, 48143, 143777, 71812, 33651, 152911, 23912, 33486, 149428, 127741, 65983, 2647, 132439, 89924, 167753, 78348, 72253, 28381, 18988, 118834, 155626, 175807]",35,"[4.0, 4.0, 4.0, 4.0, 5.0, 4.0, 5.0, 4.0, 4.0, 3.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 4.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0]",35
20871,"[3, 0, 0, 3, 4, 0, 0, 1, 0, 3, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 1, 0, 0, 1, 0, 0, 0, 3, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 1]","[154251, 147765, 110902, 94618, 61308, 40477, 171165, 148455, 36503, 75270, 93022]",11,"[4.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0]",11
6244,"[10, 0, 0, 2, 2, 0, 0, 0, 0, 7, 3, 1, 0, 0, 0, 0, 4, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 2, 4, 0, 0, 0, 0, 10, 0, 0, 3, 4, 2, 0, 0, 0, 3, 7, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 2, 1, 2, 2]","[169524, 26254, 164087, 68803, 38016, 617, 106858, 103415, 15173, 161181, 123318, 123040, 138082, 55108, 101819, 77519, 77919, 127080, 94813, 22265, 160237, 130160, 120080, 95442, 98825]",25,"[5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 3.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]",25
2095,"[111, 2, 5, 47, 68, 0, 0, 12, 2, 116, 10, 6, 2, 0, 3, 0, 38, 0, 0, 7, 25, 9, 0, 20, 3, 0, 9, 11, 40, 3, 0, 0, 0, 79, 0, 6, 34, 20, 33, 0, 0, 2, 54, 47, 6, 1, 22, 5, 0, 10, 3, 4, 0, 25, 11, 44, 5, 30]","[117056, 22849, 138713, 71126, 9003, 161944, 112223, 96385, 17361, 5825, 95089, 11895, 69280, 158587, 160305, 150113, 115239, 119159, 46490, 172742, 55364, 18905, 148917, 46843, 110459, 70980, 9574, 174897, 10127, 106030, 135703, 117283, 121200, 80691, 81786, 113580, 152211, 60838, 113737, 147416, 26019, 27894, 43078, 164567, 11679, 135286, 177148, 35229, 91525, 64098, 69000, 158953, 994, 56919, 119791, 151162, 19180, 154689, 23073, 88351, 7467, 143761, 103602, 50073, 23155, 144150, 8693, 68079, 84046, 62978, 26319, 57212, 123208, 127904, 34270, 52411, 55522, 168965, 163849, 62516, 130862, 105988, 96387, 78895, 97738, 170682, 124355, 50320, 156279, 50265, 162687, 51058, 106397, 78034, 115212, 86918, 10095, 34718, 49673, 158502, 33533, 68512, 141505, 134560, 128203, 137205, 113444, 37669, 118060, 9327, 105918, 51018, 174055, 64801, 124008, 91448, 29453, 119544, 96642, 40139, 37084, 106450, 12581, 125168, 1639, 23737, 132174, 93491, 65159, 149226, 114493, 168438, 55257, 146343, 56762, 79392, 59413, 130772, 160365, 158424, 112220, 78581, 98037, 168146, 172326, 75784, 95877, 14402, 89068, 83754, 59881, 12393, 127365, 115558, 128006, 122941, 52370, 15710, 114482, 37301, 81028, 26388, 83659, 65983, 159303, 81782, 117635, 69842, 137621, 103018, 149839, 167159, 6090, 53068, 30351, 49610, 152106, 128579, 157738, 127503, 94742, 144238, 73303, 86960, 165177, 164654, 85235, 127332, 162613, 110387, 10974, 72933, 9044, 105072, 157200, 12782, 11950, 82411, 80782, 105898, 11412, 174175, 96260, 124256, 103088, 55596, 69421, 126504, 124817, 62770, 101645, 109585, 146485, 68177, 12406, 116717, 168166, 112037, 150236, 170317, 16163, 159472, 26785, 19037, 38862, 67140, 78507, 93209, 132035, 5991, 91502, 113820, 107385, 141450, 156420, 162608, 68324, 78376, 81620, 87005, 21072, 108432, 45181, 44716, 33484, 65793, 34045, 73172, 170060, 27442, 43322, 101121, 89140, 102681, 66392, 78228, 17770, 162145, 131414, 72980, 15792, 177263, 171792, 171333, 146647, 73928, 54684, 53539, 81333, 65422, 12928, 145440, 168548, 120724, 134919, 81496, 19584, 108093, 776, 50301, 165874, 98066, 170803, 123592, 131088, 63800, 71269, 159510, 108100, 71992, 88417, 107357, 49880, 27164, 69167, 42748, 41009, 58377, 120841, 11094, 168476, 16977, 65697, 145224, 49155, 112329, 112712, 139317, 44071, 30173, 110718, 38508, 148125]",313,"[5.0, 5.0, 4.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 4.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 4.0, 3.0, 5.0, 5.0, 5.0, 4.0, 4.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 3.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 4.0, 0.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 4.0, 5.0, 1.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 4.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 0.0, 3.0, 0.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 0.0, 0.0, 5.0, 0.0, 5.0]",313
9263,"[6, 0, 0, 2, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 6, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]","[6061, 125637, 90709, 70529, 122975, 161923, 166726, 163125, 93683]",9,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]",9
12643,"[7, 1, 0, 1, 2, 0, 0, 0, 0, 3, 1, 1, 0, 0, 1, 0, 5, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4, 0, 0, 1, 0, 1, 0, 0, 3, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0]","[153194, 10746, 134105, 169299, 121973, 45532, 27001, 101806, 100966, 170732, 147180, 101819, 89113, 45835]",14,"[5.0, 4.0, 5.0, 1.0, 4.0, 5.0, 5.0, 4.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0]",14
4675,"[7, 1, 0, 3, 4, 0, 0, 1, 0, 7, 5, 1, 0, 0, 1, 0, 4, 0, 0, 0, 2, 1, 0, 1, 0, 0, 0, 2, 3, 0, 0, 0, 0, 10, 0, 0, 1, 2, 0, 0, 0, 1, 3, 4, 0, 0, 2, 1, 0, 0, 0, 0, 0, 2, 0, 2, 2, 0]","[2094, 3349, 7013, 111451, 159959, 89392, 5851, 74936, 132751, 104091, 41204, 170302, 164658, 33572, 141806, 127312, 129214, 25933, 97728, 130617, 27897, 108289, 4971, 32128, 4235]",25,"[4.0, 4.0, 5.0, 1.0, 4.0, 4.0, 5.0, 4.0, 3.0, 4.0, 4.0, 2.0, 4.0, 4.0, 4.0, 4.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 4.0, 4.0, 5.0]",25
17509,"[5, 0, 0, 1, 3, 0, 0, 0, 0, 4, 1, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2, 0, 0, 0, 0, 3, 0, 1, 1, 1, 2, 0, 0, 0, 2, 3, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 0, 0]","[92292, 89113, 158364, 29746, 28241, 127336, 137542, 132445, 145738, 137477, 40257]",11,"[5.0, 5.0, 3.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 3.0, 5.0]",11
7276,"[1, 1, 0, 1, 1, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]","[168906, 113698, 156761, 123065, 167844, 4098]",6,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0]",6
8868,"[7, 0, 0, 0, 5, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 2, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 3, 0, 0, 1, 0, 2, 0, 0, 1, 3, 3, 0, 0, 1, 0, 0, 1, 0, 0, 0, 4, 0, 2, 0, 1]","[2083, 56232, 170895, 102140, 32986, 126646, 113552, 32855, 78302, 37533, 8284, 131943, 92082]",13,"[5.0, 5.0, 5.0, 5.0, 3.0, 5.0, 5.0, 5.0, 3.0, 5.0, 5.0, 5.0, 5.0]",13
6156,"[9, 0, 0, 0, 2, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 1, 3, 0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 4, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]","[95315, 12074, 58702, 3919, 142052, 174602, 3207, 178073, 120123, 67350, 145479, 13041]",12,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 2.0, 5.0, 5.0, 5.0, 5.0, 5.0]",12
13289,"[13, 0, 0, 5, 13, 0, 0, 3, 0, 8, 0, 2, 0, 0, 0, 0, 9, 0, 0, 3, 5, 2, 1, 2, 2, 0, 2, 1, 15, 5, 1, 0, 0, 13, 0, 1, 10, 2, 2, 0, 0, 2, 6, 4, 0, 0, 8, 0, 0, 1, 0, 0, 0, 1, 0, 3, 2, 1]","[39936, 19316, 136432, 130296, 123162, 64007, 167753, 101246, 32284, 59415, 77265, 43103, 21623, 122381, 99338, 51644, 53173, 85031, 102381, 92316, 47956, 118855, 47132, 48958, 11814, 30794, 119094, 83106, 100238, 61938, 57427, 127080, 153702, 19812, 59880, 130399, 153653, 161602, 73493]",39,"[5.0, 5.0, 5.0, 5.0, 5.0, 1.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 3.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]",39
5345,"[8, 0, 0, 5, 5, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 3, 1, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 8, 0, 1, 3, 1, 1, 0, 0, 0, 3, 1, 0, 0, 4, 0, 0, 0, 0, 3, 0, 0, 2, 4, 1, 3]","[96606, 33623, 133282, 97354, 150357, 71241, 70869, 79597, 32214, 110341, 124484, 18530, 65994, 93222, 8523, 53597, 27261, 26670, 57778, 137326, 124961, 2546]",22,"[5.0, 3.0, 5.0, 0.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]",22
14928,"[3, 0, 0, 2, 3, 0, 0, 0, 0, 4, 3, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 3, 0, 0, 2, 1, 1, 0, 0, 0, 1, 4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]","[60323, 175612, 99787, 84929, 15059, 89715, 102124, 82712, 94312, 91100, 43580, 113588, 41131, 112964]",14,"[0.0, 4.0, 4.0, 5.0, 4.0, 0.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 1.0, 5.0]",14
9776,"[20, 0, 0, 8, 5, 0, 0, 3, 0, 24, 3, 1, 0, 0, 0, 0, 4, 0, 0, 2, 3, 0, 2, 0, 3, 0, 1, 1, 12, 2, 0, 0, 0, 12, 0, 1, 5, 0, 7, 0, 0, 1, 12, 10, 0, 1, 9, 0, 0, 2, 0, 0, 0, 2, 0, 2, 2, 3]","[174552, 6556, 92748, 110221, 46776, 118176, 131943, 154888, 86879, 72547, 137191, 66929, 107539, 55541, 170004, 62068, 34315, 37035, 78451, 59585, 46727, 153227, 31796, 58420, 20339, 138083, 134420, 162586, 65945, 162734, 97933, 103681, 113942, 97415, 144033, 19273, 33763, 59949, 108511, 118180, 50710, 56077, 125511, 100654, 84437, 53200, 32792, 89084, 111161, 7169, 125470, 81116, 110893, 120700, 69282, 97459, 105454]",57,"[5.0, 5.0, 4.0, 3.0, 5.0, 4.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 1.0, 5.0, 5.0, 3.0, 4.0, 5.0, 5.0, 3.0, 5.0, 4.0, 5.0, 4.0, 5.0, 4.0, 5.0, 4.0, 5.0, 3.0, 4.0, 2.0, 4.0, 4.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 3.0, 5.0, 5.0, 5.0, 3.0, 5.0, 5.0, 5.0, 4.0, 4.0, 4.0, 0.0]",57
3105,"[16, 0, 1, 7, 14, 0, 0, 2, 0, 16, 2, 3, 0, 0, 0, 0, 11, 0, 0, 0, 2, 3, 0, 3, 1, 0, 1, 0, 12, 1, 0, 0, 0, 8, 0, 0, 3, 3, 2, 0, 0, 1, 3, 9, 0, 0, 3, 0, 0, 1, 1, 1, 0, 4, 3, 9, 3, 6]","[46328, 50632, 122025, 72742, 112927, 147621, 46289, 109885, 118627, 113512, 80020, 31446, 21286, 142464, 71940, 9908, 42919, 6029, 31906, 150794, 69292, 94012, 116228, 139167, 1230, 59104, 56123, 46508, 173643, 85633, 38419, 46723, 1994, 173080, 119351, 89385, 115884, 54817, 10616, 88083, 166668, 91059, 33200, 52374]",44,"[4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 4.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 4.0, 3.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0]",44
21694,"[3, 0, 0, 1, 2, 0, 0, 1, 0, 3, 1, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 2, 0, 2, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[43748, 41295, 122785, 113987, 50174, 174775, 166441, 123370]",8,"[5.0, 5.0, 5.0, 5.0, 2.0, 5.0, 5.0, 5.0]",8
3771,"[2, 1, 0, 1, 1, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 4, 0, 0, 0, 1, 1, 0, 0, 0, 3, 2, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1]","[10394, 173270, 1633, 81517, 152497, 10200, 117899]",7,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]",7
2154,"[62, 1, 0, 14, 25, 1, 0, 4, 1, 49, 8, 2, 0, 0, 1, 0, 18, 0, 0, 5, 13, 3, 0, 13, 3, 0, 1, 2, 30, 4, 0, 0, 0, 36, 0, 1, 14, 4, 16, 0, 0, 7, 22, 24, 5, 1, 15, 2, 0, 2, 0, 0, 0, 15, 4, 11, 2, 8]","[80737, 60836, 107748, 99923, 133543, 134569, 51574, 115557, 68231, 124133, 91217, 62717, 84705, 50115, 118122, 154727, 78501, 154916, 61268, 170884, 24634, 61725, 31943, 114060, 132583, 104729, 97526, 7585, 158924, 67423, 75244, 86859, 52354, 15173, 70873, 71143, 148992, 102888, 117402, 78551, 110079, 78593, 87424, 82143, 12477, 145841, 82827, 112143, 135961, 52334, 107257, 110718, 84778, 139655, 46366, 807, 135864, 19812, 77616, 87596, 160373, 43565, 30405, 172147, 147977, 123206, 173053, 64367, 90364, 37409, 14548, 21510, 139822, 169610, 66762, 32084, 115213, 18702, 66633, 155664, 94129, 173688, 107321, 48175, 63559, 16671, 147180, 89113, 52050, 97415, 87565, 172612, 154054, 134551, 121335, 47877, 78747, 23291, 36840, 93926, 37047, 103363, 72869, 60902, 21908, 78028, 164131, 135897, 25065, 38773, 30151, 24075, 25658, 15929, 5953, 135560, 91233, 155967, 112749, 158688, 8763, 81116, 50537, 7012, 133520, 8487, 148114]",127,"[5.0, 4.0, 1.0, 5.0, 4.0, 5.0, 5.0, 4.0, 5.0, 5.0, 2.0, 5.0, 5.0, 5.0, 5.0, 3.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 4.0, 4.0, 3.0, 5.0, 4.0, 4.0, 4.0, 5.0, 4.0, 4.0, 4.0, 5.0, 5.0, 5.0, 5.0, 3.0, 5.0, 4.0, 3.0, 5.0, 3.0, 4.0, 5.0, 5.0, 5.0, 5.0, 4.0, 3.0, 3.0, 3.0, 4.0, 5.0, 5.0, 4.0, 4.0, 4.0, 5.0, 5.0, 4.0, 5.0, 3.0, 5.0, 4.0, 5.0, 5.0, 3.0, 4.0, 2.0, 3.0, 5.0, 3.0, 3.0, 5.0, 3.0, 5.0, 4.0, 4.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 4.0, 4.0, 5.0, 5.0, 5.0, 4.0, 3.0, 2.0, 5.0, 3.0, 5.0, 5.0, 5.0, 3.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 3.0, 5.0, 4.0, 4.0, 5.0, 3.0, 5.0, 5.0, 2.0, 5.0, 2.0, 3.0, 5.0, 4.0, 4.0, 2.0]",127
6996,"[2, 0, 0, 1, 5, 0, 0, 1, 1, 3, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 4, 0, 0, 1, 1, 0, 0, 1, 3, 1, 0, 0, 0, 3, 0, 0, 2, 1, 2, 0, 0, 0, 2, 4, 0, 0, 1, 0, 0, 2, 1, 0, 0, 2, 0, 1, 0, 0]","[173981, 109508, 3882, 29699, 75150, 95181, 98720, 94626, 177203, 37759, 26844, 148073, 39615, 67380]",14,"[5.0, 5.0, 3.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]",14
13349,"[4, 0, 0, 2, 6, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 1, 2, 0, 0, 0, 0, 1, 0, 2, 1, 0, 1, 0, 0, 0, 7, 1, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[80882, 136212, 11924, 138908, 169484, 71071, 121642, 157084, 170734, 26208, 47717, 130702, 153835, 94613, 36744]",15,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]",15
15564,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 3, 0, 0, 2, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[58465, 108522, 11324, 122869, 151869, 161367]",6,"[5.0, 4.0, 5.0, 5.0, 4.0, 5.0]",6
10424,"[1, 0, 0, 1, 1, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 1, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[131803, 48129, 76302, 74804, 117827]",5,"[5.0, 0.0, 1.0, 5.0, 5.0]",5
13405,"[2, 0, 0, 2, 3, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 5, 0, 0, 1, 0, 1, 0, 0, 1, 2, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 2]","[50909, 79996, 12037, 84434, 109750, 50899, 164596, 169371]",8,"[0.0, 5.0, 5.0, 0.0, 3.0, 5.0, 3.0, 0.0]",8
9348,"[4, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 4, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[102144, 145539, 19640, 29449, 6099, 98447]",6,"[5.0, 5.0, 4.0, 5.0, 5.0, 5.0]",6
1347,"[30, 2, 0, 15, 18, 0, 0, 3, 1, 35, 3, 4, 0, 0, 1, 0, 14, 0, 0, 5, 10, 3, 2, 12, 0, 0, 1, 4, 16, 3, 0, 3, 0, 17, 0, 3, 11, 6, 5, 0, 0, 4, 13, 18, 2, 1, 12, 1, 0, 1, 0, 0, 0, 6, 2, 11, 0, 10]","[101819, 138919, 50866, 106123, 100926, 68554, 66514, 64400, 58492, 54303, 151319, 140903, 174832, 24585, 34157, 60876, 145545, 115000, 26838, 135198, 16219, 44314, 151537, 97766, 86077, 129789, 29067, 136913, 509, 63480, 130218, 16000, 9002, 22230, 62621, 31568, 130879, 143836, 119412, 5193, 64071, 147224, 152222, 42163, 159297, 21371, 154398, 47497, 47837, 46622, 177181, 79319, 35438, 45460, 51257, 114273, 16043, 77983, 76818, 41674, 176335, 104821, 35845, 32123, 52114, 104518, 122721, 61137, 119468, 47479, 99301, 95753, 91247, 89191, 41436, 114795, 9884, 76064, 58083, 169561, 123553, 9273, 75764, 133119, 91788, 68202]",86,"[5.0, 4.0, 5.0, 5.0, 4.0, 4.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 4.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 2.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 3.0, 5.0, 5.0, 5.0, 0.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0]",86
5292,"[1, 0, 0, 1, 3, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 2, 4, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 3, 0, 1]","[97920, 118418, 2524, 148743, 122995, 55226, 92341, 41538, 68749]",9,"[5.0, 5.0, 5.0, 3.0, 4.0, 4.0, 4.0, 5.0, 4.0]",9
20655,"[3, 0, 0, 1, 0, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 0, 0, 0, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[80797, 68456, 64314, 35063, 103175, 47715, 43748]",7,"[3.0, 2.0, 3.0, 3.0, 5.0, 4.0, 5.0]",7
